E 7 7 N;9.66 0.0 -4; 0 0 -1
E 4 4 C;14.66 0.0 0.0; 0 0 1
E 4 4 N;19.66 0.0 0.0; 0 0 -1
E 4 4 C;24.66 0.0 0.0; 0 0 1
E 4 4 N;8.13 5.22 0.0; 0 0 -1
E 4 4 C;12.33 7.93 0.0; 0 0 1
E 4 4 N;16.54 10.63 0.0; 0 0 -1
E 4 4 C;20.74 13.33 0.0; 0 0 1
E 4 4 N;4.01 8.79 0.0; 0 0 -1
E 4 4 C;6.09 13.33 0.0; 0 0 1
E 4 4 N;8.17 17.88 0.0; 0 0 -1
E 4 4 C;10.24 22.43 0.0; 0 0 1
E 4 4 N;-1.37 9.56 0.0; 0 0 -1
E 4 4 C;-2.09 14.51 0.0; 0 0 1
E 4 4 N;-2.8 19.46 0.0; 0 0 -1
E 4 4 C;-3.51 24.41 0.0; 0 0 1
E 4 4 N;-6.33 7.3 0.0; 0 0 -1
E 4 4 C;-9.6 11.08 0.0; 0 0 1
E 4 4 N;-12.87 14.86 0.0; 0 0 -1
E 4 4 C;-16.15 18.64 0.0; 0 0 1
E 4 4 N;-9.27 2.72 0.0; 0 0 -1
E 4 4 C;-14.07 4.13 0.0; 0 0 1
E 4 4 N;-18.86 5.54 0.0; 0 0 -1
E 4 4 C;-23.66 6.95 0.0; 0 0 1
E 4 4 N;-9.27 -2.72 0.0; 0 0 -1
E 4 4 C;-14.07 -4.13 0.0; 0 0 1
E 4 4 N;-18.86 -5.54 0.0; 0 0 -1
E 4 4 C;-23.66 -6.95 0.0; 0 0 1
E 4 4 N;-6.33 -7.3 0.0; 0 0 -1
E 4 4 C;-9.6 -11.08 0.0; 0 0 1
E 4 4 N;-12.87 -14.86 0.0; 0 0 -1
E 4 4 C;-16.15 -18.64 0.0; 0 0 1
E 4 4 N;-1.37 -9.56 0.0; 0 0 -1
E 4 4 C;-2.09 -14.51 0.0; 0 0 1
E 4 4 N;-2.8 -19.46 0.0; 0 0 -1
E 4 4 C;-3.51 -24.41 0.0; 0 0 1
E 4 4 N;4.01 -8.79 0.0; 0 0 -1
E 4 4 C;6.09 -13.33 0.0; 0 0 1
E 4 4 N;8.17 -17.88 0.0; 0 0 -1
E 4 4 C;10.24 -22.43 0.0; 0 0 1
E 4 4 N;8.13 -5.22 0.0; 0 0 -1
E 4 4 C;12.33 -7.93 0.0; 0 0 1
E 4 4 N;16.54 -10.63 0.0; 0 0 -1
E 4 4 C;20.74 -13.33 0.0; 0 0 1
