E 8 8 N;10.65 0.0 -4; 0 0 1
H 10 10 C;17.65 0.0 0.0; 0 0 -1
E 5 5 N;8.61 6.26 0.0; 0 0 1
H 10 10 C;14.28 10.37 0.0; 0 0 -1
E 5 5 N;3.29 10.13 0.0; 0 0 1
H 10 10 C;5.45 16.78 0.0; 0 0 -1
E 5 5 N;-3.29 10.13 0.0; 0 0 1
H 10 10 C;-5.45 16.78 0.0; 0 0 -1
E 5 5 N;-8.61 6.26 0.0; 0 0 1
H 10 10 C;-14.28 10.37 0.0; 0 0 -1
E 5 5 N;-10.65 0.0 0.0; 0 0 1
H 10 10 C;-17.65 0.0 0.0; 0 0 -1
E 5 5 N;-8.61 -6.26 0.0; 0 0 1
H 10 10 C;-14.28 -10.37 0.0; 0 0 -1
E 5 5 N;-3.29 -10.13 0.0; 0 0 1
H 10 10 C;-5.45 -16.78 0.0; 0 0 -1
E 5 5 N;3.29 -10.13 0.0; 0 0 1
H 10 10 C;5.45 -16.78 0.0; 0 0 -1
E 5 5 N;8.61 -6.26 0.0; 0 0 1
H 10 10 C;14.28 -10.37 0.0; 0 0 -1
